trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.45, 'e': 0.7509999999999998}",20,0,-54.96264981981135,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
84,False,"{'a': 0.45, 'e': 0.7479999999999998}",20,6,-43.6052592700108,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
85,False,"{'a': 0.45, 'e': 0.7449999999999998}",20,0,-51.484200439947955,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
86,False,"{'a': 0.45, 'e': 0.7419999999999998}",20,8,1.5889675020124128,"{0: 9, 1: 3, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.45, 'e': 0.7389999999999998}",20,0,-31.81418830495192,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
88,False,"{'a': 0.45, 'e': 0.7359999999999998}",20,0,-81.53123879387188,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
89,False,"{'a': 0.45, 'e': 0.7329999999999998}",25,0,-70.34520310675569,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
90,False,"{'a': 0.45, 'e': 0.7299999999999998}",25,0,-89.26780392328742,"{0: 14, 1: 6, 2: 2, 3: 3, 4: 0}",0
91,False,"{'a': 0.45, 'e': 0.7269999999999998}",30,0,-127.0616799594233,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
92,False,"{'a': 0.45, 'e': 0.7239999999999998}",20,0,0.7542531959886389,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
93,False,"{'a': 0.45, 'e': 0.7209999999999998}",20,0,-8.30671104269691,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.45, 'e': 0.7179999999999997}",20,11,-33.507639558495654,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
95,False,"{'a': 0.45, 'e': 0.7149999999999997}",20,8,-45.98499174331938,"{0: 5, 1: 3, 2: 4, 3: 0, 4: 0}",1
96,False,"{'a': 0.45, 'e': 0.7119999999999997}",20,6,-55.697017428826136,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
97,False,"{'a': 0.45, 'e': 0.7089999999999997}",20,0,-53.77104388926617,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
98,False,"{'a': 0.45, 'e': 0.7059999999999997}",30,0,-106.43276829259098,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
99,False,"{'a': 0.45, 'e': 0.7029999999999997}",25,0,-165.1438809917124,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
100,False,"{'a': 0.45, 'e': 0.6999999999999997}",20,0,-107.22338727669191,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
101,False,"{'a': 0.45, 'e': 0.6969999999999997}",20,0,-104.3325553099387,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
102,False,"{'a': 0.45, 'e': 0.6939999999999997}",20,0,-52.02026285597062,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
103,False,"{'a': 0.45, 'e': 0.6909999999999997}",20,7,-27.191482626675477,"{0: 8, 1: 2, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.45, 'e': 0.6879999999999997}",20,0,-74.40882330744678,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
105,False,"{'a': 0.45, 'e': 0.6849999999999997}",25,0,-47.525167841412326,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
106,False,"{'a': 0.45, 'e': 0.6819999999999997}",20,8,-23.92264093506291,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
107,False,"{'a': 0.45, 'e': 0.6789999999999997}",25,11,-55.141317102949266,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
108,False,"{'a': 0.45, 'e': 0.6759999999999997}",20,0,-134.66513193128813,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
109,False,"{'a': 0.45, 'e': 0.6729999999999997}",25,4,-117.379714426569,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 1}",1
110,False,"{'a': 0.45, 'e': 0.6699999999999997}",30,0,-143.5351681079864,"{0: 20, 1: 1, 2: 4, 3: 4, 4: 1}",0
111,False,"{'a': 0.45, 'e': 0.6669999999999997}",25,9,-48.85290109929063,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 0}",1
112,False,"{'a': 0.45, 'e': 0.6639999999999997}",20,0,-119.48190617895206,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
113,False,"{'a': 0.45, 'e': 0.6609999999999997}",20,0,-37.018613753466134,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
114,False,"{'a': 0.45, 'e': 0.6579999999999997}",30,0,-76.77724410620269,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
115,False,"{'a': 0.45, 'e': 0.6549999999999997}",20,2,-175.13040726705916,"{0: 10, 1: 0, 2: 3, 3: 2, 4: 3}",1
116,False,"{'a': 0.45, 'e': 0.6519999999999997}",30,20,-41.65460007407833,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.45, 'e': 0.6489999999999997}",25,4,-21.72127268706403,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.45, 'e': 0.6459999999999997}",20,0,-16.441604519028722,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
119,False,"{'a': 0.45, 'e': 0.6429999999999997}",25,0,-131.97241333613988,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
120,False,"{'a': 0.45, 'e': 0.6399999999999997}",35,0,-130.43487253525754,"{0: 26, 1: 2, 2: 3, 3: 2, 4: 2}",0
121,False,"{'a': 0.45, 'e': 0.6369999999999997}",25,0,-57.48428818825633,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
122,False,"{'a': 0.45, 'e': 0.6339999999999997}",30,0,-81.26620379742646,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
123,False,"{'a': 0.45, 'e': 0.6309999999999997}",20,12,-27.22187863322922,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
124,False,"{'a': 0.45, 'e': 0.6279999999999997}",25,8,-3.11922806028259,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.45, 'e': 0.6249999999999997}",25,0,-40.82931452508884,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
126,False,"{'a': 0.45, 'e': 0.6219999999999997}",20,0,-13.2012870768626,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.45, 'e': 0.6189999999999997}",20,0,-27.587276704232703,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
